rFactor	fee
0	1503833623506882
1000000000000000	1503833966228991
2000000000000000	1503834310184179
3000000000000000	1503834655378370
4000000000000000	1503835001817519
5000000000000000	1503835349507621
6000000000000000	1503835698454705
7000000000000000	1503836048664836
8000000000000000	1503836400144117
9000000000000000	1503836752898687
10000000000000000	1503837106934723
11000000000000000	1503837462258439
12000000000000000	1503837818876086
13000000000000000	1503838176793954
14000000000000000	1503838536018370
15000000000000000	1503838896555701
16000000000000000	1503839258412353
17000000000000000	1503839621594769
18000000000000000	1503839986109433
19000000000000000	1503840351962869
20000000000000000	1503840719161639
21000000000000000	1503841087712348
22000000000000000	1503841457621640
23000000000000000	1503841828896199
24000000000000000	1503842201542753
25000000000000000	1503842575568067
26000000000000000	1503842950978953
27000000000000000	1503843327782262
28000000000000000	1503843705984887
29000000000000000	1503844085593765
30000000000000000	1503844466615876
31000000000000000	1503844849058242
32000000000000000	1503845232927931
33000000000000000	1503845618232054
34000000000000000	1503846004977764
35000000000000000	1503846393172263
36000000000000000	1503846782822794
37000000000000000	1503847173936648
38000000000000000	1503847566521161
39000000000000000	1503847960583713
40000000000000000	1503848356131734
41000000000000000	1503848753172697
42000000000000000	1503849151714126
43000000000000000	1503849551763589
44000000000000000	1503849953328703
45000000000000000	1503850356417133
46000000000000000	1503850761036594
47000000000000000	1503851167194848
48000000000000000	1503851574899707
49000000000000000	1503851984159032
50000000000000000	1503852394980735
51000000000000000	1503852807372778
52000000000000000	1503853221343174
53000000000000000	1503853636899986
54000000000000000	1503854054051330
55000000000000000	1503854472805373
56000000000000000	1503854893170335
57000000000000000	1503855315154489
58000000000000000	1503855738766159
59000000000000000	1503856164013726
60000000000000000	1503856590905623
61000000000000000	1503857019450337
62000000000000000	1503857449656410
63000000000000000	1503857881532441
64000000000000000	1503858315087083
65000000000000000	1503858750329045
66000000000000000	1503859187267093
67000000000000000	1503859625910051
68000000000000000	1503860066266799
69000000000000000	1503860508346275
70000000000000000	1503860952157476
71000000000000000	1503861397709458
72000000000000000	1503861845011335
73000000000000000	1503862294072282
74000000000000000	1503862744901534
75000000000000000	1503863197508385
76000000000000000	1503863651902193
77000000000000000	1503864108092377
78000000000000000	1503864566088415
79000000000000000	1503865025899851
80000000000000000	1503865487536291
81000000000000000	1503865951007405
82000000000000000	1503866416322926
83000000000000000	1503866883492653
84000000000000000	1503867352526449
85000000000000000	1503867823434244
86000000000000000	1503868296226033
87000000000000000	1503868770911878
88000000000000000	1503869247501909
89000000000000000	1503869726006322
90000000000000000	1503870206435384
91000000000000000	1503870688799428
92000000000000000	1503871173108858
93000000000000000	1503871659374149
94000000000000000	1503872147605845
95000000000000000	1503872637814561
96000000000000000	1503873130010985
97000000000000000	1503873624205876
98000000000000000	1503874120410067
99000000000000000	1503874618634464
100000000000000000	1503875118890046
101000000000000000	1503875621187870
102000000000000000	1503876125539064
103000000000000000	1503876631954835
104000000000000000	1503877140446465
105000000000000000	1503877651025314
106000000000000000	1503878163702820
107000000000000000	1503878678490498
108000000000000000	1503879195399943
109000000000000000	1503879714442831
110000000000000000	1503880235630916
111000000000000000	1503880758976035
112000000000000000	1503881284490106
113000000000000000	1503881812185128
114000000000000000	1503882342073186
115000000000000000	1503882874166447
116000000000000000	1503883408477162
117000000000000000	1503883945017668
118000000000000000	1503884483800389
119000000000000000	1503885024837834
120000000000000000	1503885568142599
121000000000000000	1503886113727370
122000000000000000	1503886661604920
123000000000000000	1503887211788113
124000000000000000	1503887764289902
125000000000000000	1503888319123331
126000000000000000	1503888876301539
127000000000000000	1503889435837753
128000000000000000	1503889997745296
129000000000000000	1503890562037586
130000000000000000	1503891128728134
131000000000000000	1503891697830547
132000000000000000	1503892269358530
133000000000000000	1503892843325885
134000000000000000	1503893419746512
135000000000000000	1503893998634410
136000000000000000	1503894580003678
137000000000000000	1503895163868517
138000000000000000	1503895750243227
139000000000000000	1503896339142214
140000000000000000	1503896930579984
141000000000000000	1503897524571151
142000000000000000	1503898121130431
143000000000000000	1503898720272649
144000000000000000	1503899322012734
145000000000000000	1503899926365726
146000000000000000	1503900533346772
147000000000000000	1503901142971129
148000000000000000	1503901755254167
149000000000000000	1503902370211366
150000000000000000	1503902987858318
151000000000000000	1503903608210731
152000000000000000	1503904231284425
153000000000000000	1503904857095340
154000000000000000	1503905485659528
155000000000000000	1503906116993163
156000000000000000	1503906751112535
157000000000000000	1503907388034056
158000000000000000	1503908027774257
159000000000000000	1503908670349792
160000000000000000	1503909315777440
161000000000000000	1503909964074101
162000000000000000	1503910615256803
163000000000000000	1503911269342698
164000000000000000	1503911926349068
165000000000000000	1503912586293323
166000000000000000	1503913249193002
167000000000000000	1503913915065776
168000000000000000	1503914583929449
169000000000000000	1503915255801956
170000000000000000	1503915930701368
171000000000000000	1503916608645893
172000000000000000	1503917289653874
173000000000000000	1503917973743795
174000000000000000	1503918660934276
175000000000000000	1503919351244080
176000000000000000	1503920044692113
177000000000000000	1503920741297423
178000000000000000	1503921441079202
179000000000000000	1503922144056789
180000000000000000	1503922850249672
181000000000000000	1503923559677485
182000000000000000	1503924272360013
183000000000000000	1503924988317193
184000000000000000	1503925707569115
185000000000000000	1503926430136023
186000000000000000	1503927156038315
187000000000000000	1503927885296549
188000000000000000	1503928617931440
189000000000000000	1503929353963863
190000000000000000	1503930093414855
191000000000000000	1503930836305615
192000000000000000	1503931582657510
193000000000000000	1503932332492068
194000000000000000	1503933085830988
195000000000000000	1503933842696138
196000000000000000	1503934603109555
197000000000000000	1503935367093451
198000000000000000	1503936134670210
199000000000000000	1503936905862392
200000000000000000	1503937680692735
201000000000000000	1503938459184156
202000000000000000	1503939241359752
203000000000000000	1503940027242803
204000000000000000	1503940816856773
205000000000000000	1503941610225311
206000000000000000	1503942407372256
207000000000000000	1503943208321633
208000000000000000	1503944013097661
209000000000000000	1503944821724751
210000000000000000	1503945634227510
211000000000000000	1503946450630740
212000000000000000	1503947270959443
213000000000000000	1503948095238821
214000000000000000	1503948923494280
215000000000000000	1503949755751428
216000000000000000	1503950592036081
217000000000000000	1503951432374264
218000000000000000	1503952276792211
219000000000000000	1503953125316370
220000000000000000	1503953977973403
221000000000000000	1503954834790187
222000000000000000	1503955695793822
223000000000000000	1503956561011624
224000000000000000	1503957430471137
225000000000000000	1503958304200126
226000000000000000	1503959182226587
227000000000000000	1503960064578742
228000000000000000	1503960951285050
229000000000000000	1503961842374200
230000000000000000	1503962737875119
231000000000000000	1503963637816975
232000000000000000	1503964542229174
233000000000000000	1503965451141367
234000000000000000	1503966364583454
235000000000000000	1503967282585580
236000000000000000	1503968205178142
237000000000000000	1503969132391791
238000000000000000	1503970064257436
239000000000000000	1503971000806241
240000000000000000	1503971942069636
241000000000000000	1503972888079310
242000000000000000	1503973838867222
243000000000000000	1503974794465601
244000000000000000	1503975754906945
245000000000000000	1503976720224029
246000000000000000	1503977690449906
247000000000000000	1503978665617908
248000000000000000	1503979645761651
