block	shorEMA	longEMA	rFactor	fee
0	1000000000000000000	1000000000000000000	999814831956828962	2499991713745403
20	1000000000000000000	1000000000000000000	996118662969294582	2499820310976579
40	1000000000000000000	1000000000000000000	992436158177116931	2499637448560561
60	1000000000000000000	1000000000000000000	988767267065767210	2499442103059121
80	1000000000000000000	1000000000000000000	985111939307461445	2499233135403801
100	1000000000000000000	1000000000000000000	981470124760470100	2499009274974643
120	1000000000000000000	1000000000000000000	977841773468430266	2498769101077499
140	1000000000000000000	1000000000000000000	974226835659660401	2498511021325421
160	1000000000000000000	1000000000000000000	970625261746477574	2498233246321942
180	1000000000000000000	1000000000000000000	967037002324517249	2497933759909839
200	1000000000000000000	1000000000000000000	963462008172055599	2497610284080842
220	1000000000000000000	1000000000000000000	959900230249334291	2497260237430210
240	1000000000000000000	1000000000000000000	956351619697887805	2496880685772470
260	1000000000000000000	1000000000000000000	952816127839873205	2496468283194342
280	1000000000000000000	1000000000000000000	949293706177402411	2496019201385717
300	1000000000000000000	1000000000000000000	945784306391876933	2495529044529992
320	1000000000000000000	1000000000000000000	942287880343325061	2494992746311043
340	1000000000000000000	1000000000000000000	938804380069741512	2494404444651616
360	1000000000000000000	1000000000000000000	935333757786429508	2493757328562752
380	1000000000000000000	1000000000000000000	931875965885345299	2493043449854451
400	1000000000000000000	1000000000000000000	928430956934445095	2492253490292707
420	1000000000000000000	1000000000000000000	924998683677034431	2491376471890295
440	1000000000000000000	1000000000000000000	921579099031119911	2490399394110339
460	1000000000000000000	1000000000000000000	918172156088763380	2489306776448570
480	1000000000000000000	1000000000000000000	914777808115438457	2488080077577717
500	1000000000000000000	1000000000000000000	911396008549389454	2486696952171461
520	1000000000000000000	1000000000000000000	908026711000992686	2485130292490830
540	1000000000000000000	1000000000000000000	904669869252120103	2483346982076331
560	1000000000000000000	1000000000000000000	901325437255505301	2481306260880596
580	1000000000000000000	1000000000000000000	897993369134111890	2478957561091905
600	1000000000000000000	1000000000000000000	894673619180504146	2476237615063549
620	1000000000000000000	1000000000000000000	891366141856220054	2473066552711777
640	1000000000000000000	1000000000000000000	888070891791146613	2469342582910007
660	1000000000000000000	1000000000000000000	884787823782897494	2464934673410625
680	1000000000000000000	1000000000000000000	881516892796192960	2459672380687129
700	1000000000000000000	1000000000000000000	878258053962242110	2453331600779907
720	1000000000000000000	1000000000000000000	875011262578127395	2445614478280354
740	1000000000000000000	1000000000000000000	871776474106191400	2436121009784348
760	1000000000000000000	1000000000000000000	868553644173425902	2424309106150938
780	1000000000000000000	1000000000000000000	865342728570863203	2409439494551573
800	1000000000000000000	1000000000000000000	862143683252969669	2390503387748397
820	1000000000000000000	1000000000000000000	858956464337041558	2366138858808175
840	1000000000000000000	1000000000000000000	855781028102603062	2334568565686445
860	1000000000000000000	1000000000000000000	852617330990806556	2293666417818343
880	1000000000000000000	1000000000000000000	849465329603835101	2241440280903787
900	1000000000000000000	1000000000000000000	846324980704307139	2177538281079409
920	1000000000000000000	1000000000000000000	843196241214683362	2106527734482934
940	1000000000000000000	1000000000000000000	840079068216675824	2042092746222649
960	1000000000000000000	1000000000000000000	836973418950659206	2006048272684040
980	1000000000000000000	1000000000000000000	833879250815084254	1992693930308585
1000	1000000000000000000	1000000000000000000	830796521365893405	1944071407322297
1020	1000000000000000000	1000000000000000000	827725188315938559	1876168198034739
1040	1000000000000000000	1000000000000000000	824665209534401012	1808125459645909
1060	1000000000000000000	1000000000000000000	821616543046213520	1749460975193241
1080	1000000000000000000	1000000000000000000	818579147031484517	1702305789473594
1100	1000000000000000000	1000000000000000000	815552979824924453	1665481769536785
1120	1000000000000000000	1000000000000000000	812537999915274247	1636941219982498
1140	1000000000000000000	1000000000000000000	809534165944735862	1614747352392341
1160	1000000000000000000	1000000000000000000	806541436708404986	1597340468337714
1180	1000000000000000000	1000000000000000000	803559771153705803	1583539287654762
1200	1000000000000000000	1000000000000000000	800589128379827854	1572469691887248
1220	1000000000000000000	1000000000000000000	797629467637164987	1563488545109770
1240	1000000000000000000	1000000000000000000	794680748326756373	1556121252905646
1260	1000000000000000000	1000000000000000000	791742929999729595	1550015010478604
1280	1000000000000000000	1000000000000000000	788815972356745797	1544905048926265
1300	1000000000000000000	1000000000000000000	785899835247446869	1540590589696916
1320	1000000000000000000	1000000000000000000	782994478669904700	1536917750934789
1340	1000000000000000000	1000000000000000000	780099862770072445	1533767349496824
1360	1000000000000000000	1000000000000000000	777215947841237837	1531046135645454
1380	1000000000000000000	1000000000000000000	774342694323478499	1528680439856013
1400	1000000000000000000	1000000000000000000	771480062803119296	1526611524369046
1420	1000000000000000000	1000000000000000000	768628014012191688	1524792148877686
1440	1000000000000000000	1000000000000000000	765786508827895050	1523184008514458
1460	1000000000000000000	1000000000000000000	762955508272060021	1521755804335160
1480	1000000000000000000	1000000000000000000	760134973510613829	1520481776718632
1500	1000000000000000000	1000000000000000000	757324865853047582	1519340580716683
1520	1000000000000000000	1000000000000000000	754525146751885523	1518314416293708
1540	1000000000000000000	1000000000000000000	751735777802156273	1517388350234406
1560	1000000000000000000	1000000000000000000	748956720740866009	1516549783402079
1580	1000000000000000000	1000000000000000000	746187937446473588	1515788029120285
1600	1000000000000000000	1000000000000000000	743429389938367618	1515093977172540
1620	1000000000000000000	1000000000000000000	740681040376345472	1514459824259985
1640	1000000000000000000	1000000000000000000	737942851060094201	1513878856411360
1660	1000000000000000000	1000000000000000000	735214784428673401	1513345272281153
1680	1000000000000000000	1000000000000000000	732496803059999950	1512854038836207
1700	1000000000000000000	1000000000000000000	729788869670334700	1512400772856291
1720	1000000000000000000	1000000000000000000	727090947113771013	1511981643129758
1740	1000000000000000000	1000000000000000000	724402998381725237	1511593289333726
1760	1000000000000000000	1000000000000000000	721724986602429026	1511232754437594
1780	1000000000000000000	1000000000000000000	719056875040423564	1510897428123813
1800	1000000000000000000	1000000000000000000	716398627096055644	1510584999228256
1820	1000000000000000000	1000000000000000000	713750206304975621	1510293415599342
1840	1000000000000000000	1000000000000000000	711111576337637201	1510020850086548
1860	1000000000000000000	1000000000000000000	708482700998799107	1509765671614843
1880	1000000000000000000	1000000000000000000	705863544227028566	1509526420496539
1900	1000000000000000000	1000000000000000000	703254070094206642	1509301787287605
1920	1000000000000000000	1000000000000000000	700654242805035387	1509090594620015
1940	1000000000000000000	1000000000000000000	698064026696546836	1508891781541973
1960	1000000000000000000	1000000000000000000	695483386237613778	1508704389978898
1980	1000000000000000000	1000000000000000000	692912286028462392	1508527552993830
2000	1000000000000000000	1000000000000000000	690350690800186622	1508360484579546
2020	1000000000000000000	1000000000000000000	687798565414264400	1508202470758595
2040	1000000000000000000	1000000000000000000	685255874862075620	1508052861803466
2060	1000000000000000000	1000000000000000000	682722584264421925	1507911065418887
2080	1000000000000000000	1000000000000000000	680198658871048242	1507776540752804
2100	1000000000000000000	1000000000000000000	677684064060166098	1507648793123064
2120	1000000000000000000	1000000000000000000	675178765337978704	1507527369363796
2140	1000000000000000000	1000000000000000000	672682728338207785	1507411853709738
2160	1000000000000000000	1000000000000000000	670195918821622161	1507301864148674
2180	1000000000000000000	1000000000000000000	667718302675568080	1507197049182147
2200	1000000000000000000	1000000000000000000	665249845913501268	1507097084943101
2220	1000000000000000000	1000000000000000000	662790514674520730	1507001672626232
2240	1000000000000000000	1000000000000000000	660340275222904261	1506910536192890
2260	1000000000000000000	1000000000000000000	657899093947645679	1506823420317531
2280	1000000000000000000	1000000000000000000	655466937361993774	1506740088547120
2300	1000000000000000000	1000000000000000000	653043772102992943	1506660321648614
2320	1000000000000000000	1000000000000000000	650629564931025551	1506583916122902
2340	1000000000000000000	1000000000000000000	648224282729355952	1506510682866297
2360	1000000000000000000	1000000000000000000	645827892503676224	1506440445963096
2380	1000000000000000000	1000000000000000000	643440361381653576	1506373041594730
2400	1000000000000000000	1000000000000000000	641061656612479405	1506308317052824
2420	1000000000000000000	1000000000000000000	638691745566420055	1506246129844998
2440	1000000000000000000	1000000000000000000	636330595734369222	1506186346883600
2460	1000000000000000000	1000000000000000000	633978174727401995	1506128843748666
2480	1000000000000000000	1000000000000000000	631634450276330584	1506073504017480
2500	1000000000000000000	1000000000000000000	629299390231261651	1506020218653907
2520	1000000000000000000	1000000000000000000	626972962561155317	1505968885451519
2540	1000000000000000000	1000000000000000000	624655135353385749	1505919408525131
2560	1000000000000000000	1000000000000000000	622345876813303432	1505871697846027
2580	1000000000000000000	1000000000000000000	620045155263799005	1505825668816605
2600	1000000000000000000	1000000000000000000	617752939144868745	1505781241880695
