block	shorEMA	longEMA	rFactor	fee
0	1000000000000000000	1000000000000000000	1000185099481459227	2502157971672655
20	1007380040264300021	1003696853463395956	1003851323967739879	2544277113530009
40	1014705615534297351	1007380040201262091	1007450277401896789	2584483574118209
60	1021977127763842938	1011049610737480011	1010983187438057422	2622873976598330
80	1029194975940352132	1014705615409151938	1014451255184517128	2659539808012364
100	1036359556106697081	1018348104367291203	1017855655898471571	2694567700377646
120	1043471261382937600	1021977127577510190	1021197539659154656	2728039695912163
140	1050530481987891629	1025592734820705736	1024478032020160374	2760033497322036
160	1057537605260546521	1029194975693741991	1027698234641695189	2790622704025244
180	1064493015681312305	1032783899610130779	1030859225903477014	2819877035132125
200	1071397094893118107	1036359555800709398	1033962061498967928	2847862539953118
220	1078250221722352864	1039921993314315964	1037007775011599872	2874641796757378
240	1085052772199651513	1043471261018462223	1039997378473626268	2900274100461978
260	1091805119580527764	1047007407600003888	1042931862908207079	2924815639890386
280	1098507634365854609	1050530481565808505	1045812198855310711	2948319665200405
300	1105160684322193674	1054040531243420838	1048639336881993104	2970836646045752
320	1111764634501974558	1057537604781725798	1051414208077592292	2992414421001657
340	1118319847263525227	1061021750151608926	1054137724534355548	3013098338753253
360	1124826682290954602	1064493015146614423	1056810779813996207	3032931391515821
380	1131285496613888389	1067951447383600769	1059434249400657803	3051954341128174
400	1137696644627059288	1071397094303393895	1062008991140744919	3070205838234347
420	1144060478109752598	1074830003171437942	1064535845670062277	3087722534944290
440	1150377346245108329	1078250221078443638	1067015636828686886	3104539191341322
460	1156647595639280864	1081657794941034250	1069449172063981801	3120688776182505
480	1162871570340457201	1085052771502389167	1071837242822144592	3136202562117915
500	1169049611857734871	1088435197332885091	1074180624928668847	3151110215735760
520	1175182059179860515	1091805118830734870	1076480078958082744	3165439882722466
540	1181269248793830174	1095162582222623950	1078736350593315226	3179218268410108
560	1187311514703352306	1098507633564344498	1080950170975027210	3192470713967796
580	1193309188447174557	1101840318741427167	1083122257041232834	3205221268478863
600	1199262599117275267	1105160683469770530	1085253311857523712	3217492757131785
620	1205172073376920717	1108468773296268179	1087344024938197757	3229306845739688
640	1211037935478589140	1111764633599433513	1089395072558583090	3240684101791027
660	1216860507281762421	1115048309590022220	1091407118058836966	3251644052222453
680	1222640108270586505	1118319846311652452	1093380812139489595	3262205238094015
700	1228377055571401477	1121579288641422697	1095316793148993017	3272385266336638
720	1234071663970142268	1124826681290527392	1097215687363525728	3282200858732160
740	1239724245929610931	1128062068804870240	1099078109259295030	3291667898277202
760	1245335111606621458	1131285495565675260	1100904661777570285	3300801473073581
780	1250904568869018070	1134497005790095593	1102695936582672119	3309615917879982
800	1256432923312567897	1137696643531820048	1104452514313134646	3318124853452033
820	1261920478277729001	1140884452681677398	1106174964826250225	3326341223790819
840	1267367534866294661	1144060476968238450	1107863847436198877	3334277331413170
860	1272774391957914783	1147224759958415900	1109519711145957491	3341944870750733
880	1278141346226495433	1150377345058061946	1111143094873177281	3349354959778917
900	1283468692156477300	1153518275512563718	1112734527670211291	3356518169971147
920	1288756722058994046	1156647594407436479	1114294528938467691	3363444554668635
940	1294005726087911395	1159765344668914656	1115823608637258454	3370143675950845
960	1299215992255747863	1162871569064540687	1117322267487307331	3376624630087164
980	1304387806449477978	1165966310203751659	1118790997169075471	3382896071645851
1000	1309521452446218887	1169049610538463828	1120230280516057629	3388966236332161
1020	1314617211928801183	1172121512363654924	1121640591703196885	3394842962623595
1040	1319675364501224832	1175182057817944352	1123022396430560719	3400533712266520
1060	1324696187704001026	1178231288884171211	1124376152102416642	3406045589694893
1080	1329679957029380798	1181269247389970191	1125702308001840901	3411385360428513
1100	1334626945936471283	1184295975008345357	1127001305460989466	3416559468505090
1120	1339537425866240394	1187311513258241777	1128273578027156175	3421574052997499
1140	1344411666256410772	1190315903505115063	1129519551624738854	3426434963664777
1160	1349249934556243815	1193309186961498803	1130739644713230277	3431147775782804
1180	1354052496241214605	1196291404687569885	1131934268441347071	3435717804198130
1200	1358819614827578525	1199262597591711742	1133103826797405944	3440150116646064
1220	1363551551886830387	1202222806431075503	1134248716756053155	3444449546371912
1240	1368248567060056838	1205172071812139089	1135369328421449686	3448620704092204
1260	1372910918072182849	1208110434191264215	1136466045167011348	3452667989330705
1280	1377538860746113071	1211037933875251360	1137539243771799874	3456595601162215
1300	1382132649016768813	1213954611021892666	1138589294553657978	3460407548395328
1320	1386692534945021446	1216860505640522802	1139616561499178486	3464107659223714
1340	1391218768731522960	1219755657592567794	1140621402390594721	3467699590373854
1360	1395711598730434458	1222640106592091811	1141604168929676694	3471186835775731
1380	1400171271463053333	1225513892206341947	1142565206858714897	3474572734781500
1400	1404598031631339882	1228377053856290983	1143504856078671074	3477860479955898
1420	1408992122131344073	1231229630817178145	1144423450764572759	3481053124460841
1440	1413353784066533257	1234071662219047847	1145321319478226128	3484153589055498
1460	1417683256761021481	1236903187047286465	1146198785278319296	3487164668731981
1480	1421980777772701195	1239724244143157119	1147056165827986075	3490089039005752
1500	1426246582906278036	1242534872204332466	1147893773499898033	3492929261878805
1520	1430480906226209422	1245335109785425538	1148711915478950636	3495687791492757
1540	1434683980069547649	1248124995298518616	1149510893862607234	3498366979488070
1560	1438856035058688214	1250904567013690138	1150291005758962824	3500969080084755
1580	1442997300114024047	1253673863059539670	1151052543382587513	3503496254899128
1600	1447108002466506364	1256432921423710934	1151795794148207956	3505950577510408
1620	1451188367670112809	1259181779953412900	1152521040762283213	3508334037790217
1640	1455238619614223591	1261920476355938953	1153228561312529820	3510648546007372
1660	1459258980535906275	1264649048199184136	1153918629355449259	3512895936719694
1680	1463249671032109922	1267367532912160493	1154591514001909411	3515077972463960
1700	1467210910071769228	1270075967785510496	1155247480000830107	3517196347254522
1720	1471142915007819331	1272774389972018573	1155886787821021356	3519252689900599
1740	1475045901589121953	1275462836487120751	1156509693731221497	3521248567151670
1760	1478920083972303543	1278141344209412418	1157116449878381071	3523185486679979
1780	1482765674733506013	1280809949881154198	1157707304364236919	3525064899908617
1800	1486582884880050785	1283468690108775962	1158282501320219732	3526888204693254
1820	1490371923862016765	1286117601363378972	1158842280980737044	3528656747865158
1840	1494132999583732831	1288756719981236172	1159386879754872377	3530371827642735
1860	1497866318415185550	1291386082164290638	1159916530296540215	3532034695918454
1880	1501572085203342680	1294005723980652155	1160431461573135262	3533646560427661
1900	1505250503283393107	1296615681365091999	1160931898932713338	3535208586805445
1920	1508901774489903831	1299215990119535861	1161418064169740298	3536721900537407
1940	1512526099167894628	1301806685913554959	1161890175589444261	3538187588809871
1960	1516123676183830955	1304387804284855332	1162348448070805454	3539606702264778
1980	1519694702936535750	1306959380639765329	1162793093128217059	3540980256664266
2000	1523239375368020693	1309521450253721289	1163224318971849470	3542309234469638
2020	1526757887974237523	1312074048271751435	1163642330566749492	3543594586339197
2040	1530250433815750024	1314617209708957969	1164047329690705153	3544837232549197
2060	1533717204528327252	1317150969450997390	1164439514990905940	3546038064341932
2080	1537158390333458561	1319675362254559040	1164819082039427417	3547197945204767
2100	1540574180048791065	1322190422747841870	1165186223387568492	3548317712083736
2120	1543964761098490031	1324696185431029458	1165541128619068675	3549398176535139
2140	1547330319523522848	1327192684676763255	1165883984402232106	3550440125818369
2160	1550671039991867067	1329679954730614096	1166214974540984214	3551444323933070
2180	1553987105808643137	1332158029711551958	1166534280024886366	3552411512603536
2200	1557278698926172331	1334626943612413983	1166842079078132992	3553342412213119
2220	1560545999953960463	1337086730300370780	1167138547207555163	3554237722691282
2240	1563789188168607931	1339537423517390989	1167423857249653905	3555098124355767
2260	1567008441523646598	1341979056880704137	1167698179416685853	3555924278712254
2280	1570203936659304096	1344411663883261778	1167961681341823366	3556716829213741
2300	1573375848912196065	1346835277894196932	1168214528123410534	3557476401981761
2320	1576524352324946867	1349249932159281825	1168456882368336005	3558203606491450
2340	1579649619655739282	1351655659801383937	1168688904234542961	3558899036222371
2360	1582751822387793746	1354052493820920353	1168910751472696118	3559563269276898
2380	1585831130738777628	1356440467096310462	1169122579467024983	3560196868967868
2400	1588887713670145055	1358819612384426949	1169324541275362237	3560800384377130
2420	1591921738896407816	1361189962321045140	1169516787668395512	3561374350886524
2440	1594933372894337856	1363551549421290683	1169699467168150423	3561919290682744
2460	1597922780912101837	1365904406080085570	1169872726085722226	3562435713237476
2480	1600890126978328298	1368248564572592520	1170036708558273036	3562924115764103
2500	1603835573911107898	1370584057054657695	1170191556585311113	3563384983652236
2520	1606759283326927222	1372910915563251814	1170337410064268266	3563818790881228
2540	1609661415649536689	1375229172016909605	1170474406825391086	3564226000413804
2560	1612542130118752971	1377538858216167647	1170602682665961227	3564607064570834
2580	1615401584799196484	1379840005844000604	1170722371383859648	3564962425388284
2600	1618239936588964385	1382132646466255822	1170833604810489336	3565292514957254
2620	1621057341228239552	1384416811532086333	1170936512843070616	3565597755748034
2640	1623853953307836041	1386692532374382262	1171031223476322856	3565878560919002
2660	1626629926277681480	1388959840210200626	1171117862833546031	3566135334611184
2680	1629385412455236850	1391218766141193562	1171196555197115198	3566368472229228
2700	1632120563033854143	1393469341154034953	1171267423038400739	3566578360709526
2720	1634835528091072315	1395711596120845486	1171330587047126767	3566765378776152
2740	1637530456596852049	1397945561799616150	1171386166160179903	3566929897185278
2760	1640205496421749717	1400171268834630145	1171434277589880263	3567072278958671
2780	1642860794345031036	1402388747756883243	1171475036851726236	3567192879606855
2800	1645496496062724825	1404598028984502600	1171508557791624311	3567292047342490
2820	1648112746195617352	1406799142823164017	1171534952612614997	3567370123284479
2840	1650709688297187649	1408992119466507650	1171554331901105556	3567427441653308
2860	1653287464861484302	1411176988996552190	1171566804652620049	3567464329958073
2880	1655846217330944079	1413353781384107518	1171572478297076898	3567481109175642
2900	1658386086104152862	1415522526489185820	1171571458723603977	3567478093922365
